631 tweets realted to alcohol labeled and classified:  
### = Errors by classifers

                        Labels |               SVM predictions |            Predictions of NBC

             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |      Concerned about drinking  ###
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |      Concerned about drinking  ###
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
      Concerned about drinking |      Concerned about drinking |      Concerned about drinking
             Actively drinking |             Actively drinking |             Actively drinking
